年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,4.05,1.02,8.41,5.08,0.6
2019,3.02,0.62,5.15,3.05,0.3
2018,3.5,1.5,12.62,6.59,1.0
2017,1.99,0.81,7.15,3.56,0.6
2016,1.25,0.6,5.4,2.8,0.4
2015,0.95,0.39,3.43,1.75,0.3
2014,0.86,0.35,3.01,1.49,0.3
2013,0.52,0.12,1.06,0.49,0.0
2012,0.095,-0.6,-5.59,-2.47,0.0
2011,0.7,-0.55,-4.97,-2.1,0.0
2010,2.03,0.85,7.09,3.02,0.4
2009,1.03,-0.65,-5.92,-2.68,0.0
2008,1.8,-1.48,-11.23,-4.77,0.0
2007,3.8,0.29,1.9,0.73,0.1
2006,4.16,0.81,5.59,2.2,0.3
2005,3.48,0.06,0.16,0.07,0.2
2004,4.0,0.64,4.3,2.15,0.5
2003,3.74,0.37,2.55,1.37,0.4
2002,4.79,1.76,11.38,6.22,1.0
2001,4.44,1.72,11.5,6.15,1.0
2000,4.19,1.65,11.16,6.11,0.8
