年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,125.6,2.43,8.53,6.83,1.7
2019,128.8,2.51,10.11,8.18,1.6
2018,109.7,2.35,9.91,8.24,1.6
2017,105.8,3.11,12.49,10.59,1.8
2016,95.26,2.37,10.11,8.44,1.6
2015,86.87,1.59,6.71,5.59,1.2
2014,87.9,2.01,7.93,6.52,1.4
2013,79.47,1.57,6.5,5.21,1.0
2012,74.9,1.86,7.6,6.13,1.0
2011,63.18,1.81,7.11,5.77,1.0
2010,60.07,2.43,9.71,7.7,1.2
2009,47.17,1.6,7.83,5.91,0.8
2008,38.92,0.26,0.54,0.42,0.25
2007,46.31,2.09,8.46,6.84,0.7
2006,38.84,1.78,8.49,6.74,0.6
2005,32.45,1.4,8.42,6.54,0.6
2004,27.32,1.08,7.12,5.49,0.6
2003,23.74,0.99,6.65,5.02,0.5
2002,18.68,0.44,3.06,2.27,0.2
2001,17.06,0.25,1.79,1.31,0.2
