年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,8.53,0.25,1.45,0.62,0.5
2019,10.84,0.33,1.95,0.89,0.99
2018,12.86,0.4,2.22,1.15,1.0
2017,16.96,2.02,10.29,4.98,1.8
2016,16.73,2.05,10.76,4.13,0.99
2015,16.09,2.44,12.27,4.02,1.0
2014,14.97,1.96,9.5,3.36,1.85
2013,19.38,6.3,32.79,11.54,4.0
2012,8.84,1.51,8.88,3.26,1.2
2011,10.88,3.98,23.45,10.02,2.5
2010,7.21,2.43,17.22,7.72,1.8
2009,5.6,2.15,16.29,9.2,1.5
2008,3.96,2.27,17.75,8.89,1.2
2007,0.67,1.03,10.17,4.88,0.0
2006,-0.8,1.03,11.35,6.34,0.0
2005,-10.36,0.01,-0.03,-0.02,0.0
2004,-10.39,0.09,1.53,1.0,0.0
2003,-3.75,-1.07,-13.31,-7.45,0.0
2002,-2.74,-2.89,-28.85,-15.23,0.0
2001,-2.09,-2.1,-17.65,-8.48,0.0
2000,-12.18,-3.01,-37.8,-13.85,0.0
1999,-6.17,-3.07,-32.25,-10.35,0.0
