年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,10.88,1.72,11.32,5.41,1.4
2019,9.94,1.55,10.91,5.58,1.3
2018,9.28,1.17,8.3,4.47,1.15
2017,9.44,1.13,8.76,4.69,1.25
2016,9.7,1.76,13.61,7.32,1.25
2015,8.09,2.55,18.45,9.07,1.0
2014,3.05,0.22,2.17,0.97,0.25
2013,3.06,0.32,2.79,1.11,0.24
2012,2.77,0.21,1.78,0.67,0.38
2011,0.97,0.24,1.44,0.56,0.3
2010,1.94,1.04,8.05,3.11,0.4
2009,0.71,0.94,6.63,2.38,0.0
2008,-0.82,-0.87,-9.39,-3.38,0.0
2007,1.83,1.13,9.17,3.65,0.25
2006,-0.26,-0.16,-1.47,-0.68,0.0
2005,-0.55,0.2,1.73,0.88,0.0
2004,-2.11,-0.84,-7.74,-4.04,0.0
2003,-0.67,0.17,1.6,0.87,0.0
2002,-1.99,0.12,1.12,0.65,0.0
2001,-2.95,-0.29,-2.85,-1.65,0.0
2000,-2.37,-0.19,-1.87,-1.07,0.0
1999,-5.21,-0.05,-0.46,-0.26,0.0
