年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,43.76,9.34,24.53,15.49,6.4
2019,39.88,9.63,26.92,17.62,6.5
2018,35.61,9.57,28.51,18.4,6.5
2017,31.68,10.03,31.95,19.9,6.68
2016,26.83,9.82,37.73,20.78,6.4
2015,21.15,8.07,38.98,22.13,5.6
2014,17.58,7.24,39.97,27.74,5.3
2013,14.67,6.42,39.77,27.78,5.0
2012,11.05,4.67,32.2,22.81,3.7
2011,8.13,3.63,27.84,19.79,3.0
2010,6.66,3.28,26.01,17.6,2.5
2009,4.98,2.91,25.08,16.54,2.0
2008,2.49,1.26,13.81,9.5,1.0
2007,2.75,1.39,14.68,10.17,1.2
2006,2.13,1.32,12.68,8.68,0.8
2005,1.51,1.09,10.33,6.86,0.6
2004,1.1,0.7,7.59,4.88,0.41
2003,0.28,0.34,1.94,1.19,0.0
2002,-0.87,0.26,2.37,1.35,0.0
2001,-1.19,0.07,0.67,0.38,0.0
2000,-1.29,-0.7,-6.53,-4.09,0.0
