年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,9.75,2.1,8.72,4.37,1.3
2019,11.2,4.73,19.22,10.17,4.0
2018,10.55,4.19,16.87,8.82,3.8
2017,11.35,6.55,26.36,13.45,5.2
2016,10.46,6.52,27.32,13.63,5.2
2015,9.52,5.9,25.87,12.72,5.0
2014,8.46,4.88,22.64,11.28,4.3
2013,7.71,4.02,19.32,10.16,3.7
2012,7.59,3.75,17.58,9.93,3.5
2011,7.72,4.27,20.07,11.01,4.0
2010,7.51,5.0,25.65,13.25,4.0
2009,5.99,3.36,19.18,9.84,3.0
2008,4.19,0.74,4.38,2.29,1.0
2007,4.78,1.89,11.21,5.75,1.5
2006,4.34,1.57,9.21,4.56,1.3
2005,5.07,3.02,17.28,8.11,2.5
2004,5.46,4.0,23.75,10.73,3.5
2003,4.34,3.19,20.43,9.28,2.5
2002,3.06,2.06,13.76,6.25,1.5
