季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,59.26,2.52,6.1,2.56
2020Q4,53.42,1.97,5.31,2.18
2020Q3,48.66,2.66,8.08,3.25
2020Q2,42.45,2.52,7.7,3.39
2020Q1,48.91,1.93,5.38,2.55
2019Q4,44.43,1.28,3.54,1.65
2019Q3,41.42,2.38,7.55,3.47
2019Q2,35.91,2.23,7.02,3.33
2019Q1,41.08,1.6,4.9,2.42
2018Q4,37.44,1.01,3.17,1.51
2018Q3,35.17,2.13,7.48,3.47
2018Q2,30.36,1.9,6.65,3.21
2018Q1,35.12,1.23,4.23,2.16
2017Q4,32.34,1.12,3.9,1.97
2017Q3,29.85,1.56,6.17,3.05
2017Q2,26.34,1.51,6.12,3.14
2017Q1,30.83,1.25,4.91,2.62
2016Q4,28.01,1.1,4.39,2.27
2016Q3,25.61,1.31,5.42,2.67
2016Q2,22.67,1.42,5.53,2.79
2016Q1,26.34,1.41,5.33,2.78
2015Q4,23.26,0.85,3.08,1.54
2015Q3,21.43,1.38,5.64,2.69
2015Q2,18.46,1.21,4.86,2.34
2015Q1,21.75,1.15,4.58,2.27
2014Q4,19.36,0.71,2.8,1.36
2014Q3,17.9,1.09,4.79,2.22
2014Q2,15.65,1.06,4.55,2.14
