季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,-1.2,-0.06,-0.58,-0.47
2020Q4,-1.11,-0.12,-1.34,-1.08
2020Q3,-0.93,-0.07,-0.75,-0.61
2020Q2,-0.82,-0.1,-1.08,-0.88
2020Q1,-0.66,-0.08,-0.95,-0.78
2019Q4,-0.53,-0.11,-1.27,-1.05
2019Q3,-0.35,-0.11,-1.14,-0.96
2019Q2,-0.18,-0.1,-1.03,-0.87
2019Q1,-0.028,-0.07,-0.81,-0.69
2018Q4,0.095,-0.1,-1.05,-0.9
2018Q3,0.24,0.0,-0.12,-0.1
2018Q2,0.25,-0.11,-1.09,-0.91
2018Q1,0.42,-0.09,-0.96,-0.81
2017Q4,0.46,-0.12,-1.25,-1.06
2017Q3,0.72,-0.11,-1.19,-1.02
2017Q2,0.9,-0.1,-1.04,-0.87
2017Q1,1.07,0.22,1.99,1.6
2016Q4,0.71,-0.03,-0.44,-0.35
2016Q3,0.77,-0.04,-0.52,-0.41
2016Q2,0.84,-0.05,-0.61,-0.48
2016Q1,0.92,-0.06,-0.67,-0.53
2015Q4,1.02,-0.06,-0.79,-0.63
2015Q3,1.17,-0.02,-0.22,-0.17
2015Q2,1.21,-0.04,-0.51,-0.41
2015Q1,1.29,-0.09,-1.08,-0.87
2014Q4,1.43,-0.07,-0.77,-0.63
2014Q3,1.55,-0.05,-0.52,-0.42
2014Q2,1.64,-0.07,-0.85,-0.7
