年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,35.08,3.24,11.99,6.02,1.0
2019,28.06,0.53,2.19,1.01,0.0
2018,26.89,-0.33,-1.42,-0.64,0.0
2017,25.7,-0.37,-1.69,-0.75,0.0
2016,26.65,-0.07,-0.3,-0.14,0.0
2015,27.29,0.17,0.75,0.37,0.0
2014,27.06,-0.66,-2.89,-1.55,0.0
2013,28.6,0.06,0.26,0.15,0.0
2012,28.38,-0.54,-2.29,-1.34,0.0
2011,0.055,-0.76,-4.27,-2.51,0.0
2010,1.73,-0.61,-5.13,-2.96,0.0
2009,3.08,0.36,3.02,1.78,0.0
2008,2.29,-1.2,-9.65,-5.93,0.0
2007,4.93,-1.04,-7.62,-5.08,0.0
2006,7.73,-0.11,-0.79,-0.56,0.2
2005,10.24,2.19,13.96,10.1,0.6
