年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,2.45,-0.17,-5.44,-2.87,0.2
2019,2.76,0.08,-4.47,-2.51,0.2
2018,2.8,0.05,-3.49,-2.06,0.1
2017,2.95,0.22,-2.43,-1.47,0.2
2016,2.84,0.1,-1.66,-1.02,0.1
2015,3.53,0.09,-2.08,-1.3,0.2
2014,4.71,1.01,2.61,1.63,0.8
2013,5.51,2.01,10.5,6.34,0.8
2012,3.33,0.83,4.12,2.41,0.6
2011,2.31,0.55,2.64,1.53,0.35
2010,2.45,0.88,4.81,2.81,0.65
2009,2.43,1.16,5.81,3.13,0.55
2008,1.49,0.43,1.8,0.93,0.33
2007,1.75,0.76,3.75,2.12,0.64
2006,1.51,0.35,1.44,0.85,0.5
2005,2.4,1.87,10.35,5.91,0.5
2004,1.83,1.53,9.52,4.88,0.45
2003,1.32,1.05,7.8,3.81,0.3
2002,1.15,1.04,7.09,3.74,0.3
