季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,2.58,0.33,1.95,1.11
2020Q4,3.12,0.32,1.85,1.08
2020Q3,2.86,0.32,1.93,1.08
2020Q2,2.6,0.13,0.67,0.37
2020Q1,3.3,0.15,0.82,0.45
2019Q4,3.18,0.25,1.31,0.69
2019Q3,2.91,0.19,1.09,0.56
2019Q2,2.76,0.07,0.39,0.21
2019Q1,3.7,0.11,0.53,0.29
2018Q4,3.61,0.18,0.92,0.48
2018Q3,3.45,0.31,1.67,0.84
2018Q2,3.2,0.49,2.66,1.42
2018Q1,3.93,0.33,1.75,0.99
2017Q4,3.61,0.5,2.66,1.53
2017Q3,3.23,0.61,3.49,2.02
2017Q2,2.74,0.47,2.62,1.59
2017Q1,3.69,0.27,1.43,0.92
2016Q4,3.49,0.72,3.63,2.35
2016Q3,3.01,0.55,3.19,1.95
2016Q2,2.62,0.65,3.72,2.21
2016Q1,3.16,0.57,3.2,1.97
2015Q4,2.89,0.63,3.61,2.16
2015Q3,2.5,0.76,4.61,2.67
2015Q2,2.05,0.55,3.33,1.95
2015Q1,2.52,0.41,2.49,1.45
2014Q4,2.26,0.59,3.7,1.98
2014Q3,1.9,0.55,3.59,1.78
2014Q2,1.56,0.32,2.04,1.03
