年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,42.31,2.94,15.95,12.6,1.5
2019,36.08,2.82,17.87,13.66,1.1
2018,29.19,2.38,17.31,13.37,0.8
2017,20.22,1.32,10.82,8.25,0.1
2016,15.68,0.42,2.79,2.06,0.1
2015,14.9,0.04,-0.86,-0.64,0.2
2014,15.69,0.67,4.76,3.54,0.2
2013,17.95,0.65,4.61,3.34,1.2
2012,17.16,0.2,0.81,0.58,0.38
2011,16.49,0.17,1.27,0.97,0.35
2010,16.93,-0.04,-0.09,-0.08,0.28
2009,18.57,0.26,1.74,1.57,0.35
2008,18.37,0.44,2.76,2.47,0.2
2007,18.82,0.58,4.06,3.6,0.5
2006,19.24,1.5,10.73,9.42,0.6
2005,15.15,0.8,6.04,5.27,0.5
2004,14.0,0.65,5.18,4.48,0.5
2003,13.81,0.49,3.65,3.17,0.3
2002,14.07,0.99,7.67,6.63,0.5
2001,10.24,0.07,0.58,0.49,0.1
2000,11.28,0.38,2.98,2.49,0.3
1999,12.35,0.68,5.23,4.33,0.6
1998,12.59,0.68,5.26,4.26,0.7
1997,13.99,1.19,9.0,7.22,0.5
1996,14.03,1.4,10.13,8.08,0.6
1995,14.7,1.4,10.04,8.24,1.5
1994,16.29,1.86,13.41,11.39,1.3
