年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,40.11,3.59,16.57,6.23,2.2
2019,30.51,1.55,8.28,3.44,1.2
2018,28.66,1.33,7.42,3.36,1.0
2017,26.86,1.19,6.81,3.26,1.0
2016,26.81,1.22,6.61,3.32,1.0
2015,25.99,1.34,7.17,3.74,1.0
2014,25.7,1.5,8.59,4.76,1.2
2013,22.86,1.25,7.45,4.15,0.8
2012,21.65,1.09,6.74,3.82,1.0
2011,13.26,1.22,7.31,4.27,1.0
2010,12.34,1.16,6.59,3.72,1.0
2009,11.71,1.17,6.8,3.52,1.0
2008,10.44,1.02,6.39,3.23,0.88
2007,13.48,1.86,12.23,6.2,1.4
2006,12.54,1.95,12.4,5.88,1.4
2005,12.42,2.4,14.93,6.77,1.5
1996,-31.27,0.59,10.59,1.48,1.3
1995,-53.32,-9.57,-196.5,-24.33,1.0
