年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,20.46,1.64,10.39,8.63,1.2
2019,15.07,0.64,4.42,3.66,0.5
2018,14.11,0.39,2.68,2.34,0.32
2017,14.18,0.65,4.47,3.85,0.5
2016,13.15,0.3,2.11,1.8,0.28
2015,12.91,0.13,0.84,0.74,0.26
2014,14.52,0.77,5.29,4.61,0.6
2013,14.49,0.16,0.87,0.74,0.75
2012,14.84,0.27,1.68,1.45,0.22
2011,16.15,0.48,2.95,2.54,0.3
2010,16.54,1.14,7.11,5.96,0.6
2009,14.47,0.75,4.9,4.19,0.5
2008,12.88,0.21,1.32,1.11,0.26
2007,17.88,2.38,14.29,11.51,1.6
2006,14.33,1.93,13.26,10.75,1.2
2005,10.9,1.34,9.61,7.81,0.8
