年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-2.79,-1.23,-14.47,-5.9,0.0
2019,-1.17,0.52,5.87,2.69,0.0
2018,-1.84,1.83,23.89,10.37,0.0
2017,-4.26,0.88,13.93,5.05,0.0
2016,-5.43,-0.47,-7.73,-2.72,0.0
2015,-4.8,0.03,0.44,0.13,0.0
2014,-3.66,-2.44,-29.92,-8.0,0.0
2013,-7.95,-1.77,-26.92,-8.23,0.0
2012,-4.98,-1.59,-20.19,-7.49,0.0
2011,-7.8,-0.58,-6.42,-3.01,0.0
2010,-6.83,0.71,8.34,4.09,0.0
2009,-8.03,-1.24,-14.92,-7.29,0.0
2008,-17.29,-1.14,-19.32,-10.37,0.0
2007,-14.08,0.08,2.49,1.31,0.0
2006,-14.32,-0.77,-10.28,-5.16,0.0
2005,-12.16,-1.39,-19.41,-9.89,0.0
