年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,4.04,0.74,5.02,2.48,0.5
2019,3.95,1.19,8.28,4.0,0.65
2018,2.92,0.1,0.74,0.34,0.15
2017,3.31,0.63,4.41,2.13,0.5
2016,3.18,0.74,5.05,2.63,0.5
2015,3.44,1.25,8.19,3.83,1.0
2014,2.8,0.75,3.83,1.57,0.6
2013,2.61,0.69,3.83,1.51,0.5
2012,2.55,0.82,5.71,2.18,0.6
2011,2.1,0.31,1.52,0.58,0.28
2010,2.27,0.54,2.92,1.21,0.5
2009,2.78,1.49,8.73,3.61,1.1
2008,1.44,-0.37,-6.97,-2.57,0.0
2007,2.53,1.0,4.41,1.69,0.4
2006,1.9,0.16,-1.65,-0.8,0.3
2005,2.34,0.67,4.89,2.74,0.7
2004,2.96,2.08,14.68,8.69,0.6
2003,2.95,2.4,17.24,11.14,1.4
2002,2.76,2.86,20.42,13.62,1.0
2001,2.29,2.68,19.07,12.32,0.6
2000,2.41,3.58,26.26,16.37,1.88
