年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,166.2,2.93,6.34,3.86,1.6
2019,159.4,3.21,7.21,4.31,1.6
2018,151.7,2.72,6.4,3.82,1.5
2017,142.9,2.55,6.26,3.78,1.3
2016,136.5,2.39,5.97,3.68,1.2
2015,132.8,2.39,5.98,3.78,1.5
2014,129.1,2.43,6.29,3.95,1.5
2013,124.2,2.25,6.06,3.83,1.4
2012,118.2,1.93,5.37,3.46,1.0
2011,63.61,2.11,6.29,3.99,1.2
2010,58.87,1.63,5.4,3.35,1.2
2009,56.62,5.77,21.1,11.48,1.2
2008,29.71,1.51,6.51,3.16,0.6
2007,29.41,1.99,9.0,4.62,1.2
2006,26.32,1.66,8.16,4.48,1.2
2005,25.28,1.31,6.83,3.81,1.2
2004,24.59,1.08,5.92,3.29,1.0
2003,22.66,0.81,4.45,2.51,0.6
