年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-8.95,-1.94,-21.67,-6.92,0.0
2019,0.42,-0.56,-5.44,-2.09,0.0
2018,4.39,0.33,3.14,1.29,0.0
2017,3.98,0.47,4.43,1.98,0.0
2016,5.93,1.2,10.84,5.39,0.4
2015,4.9,1.03,9.42,4.87,0.8
2014,4.34,0.85,8.08,4.3,0.7
2013,1.0,0.53,5.29,2.7,0.2
2012,-1.19,1.33,14.67,6.85,0.0
2011,-12.05,0.47,5.7,2.38,0.0
2010,-14.09,-3.24,-33.91,-16.34,0.0
2009,0.061,0.01,0.13,0.07,0.0
2008,-2.26,-1.15,-10.19,-5.87,0.0
2007,4.03,0.25,2.18,1.25,0.2
2006,3.66,0.16,1.45,0.86,0.15
2005,2.91,0.11,0.93,0.6,0.0
2004,3.2,0.46,4.02,2.59,0.15
2003,1.14,-1.93,-15.34,-10.08,0.0
2002,10.31,0.19,1.35,0.91,0.15
2001,9.34,0.5,3.88,2.58,0.2
2000,7.42,0.13,1.11,0.73,0.1
