季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,13.57,0.25,0.72,0.4
2020Q4,14.85,1.3,3.81,2.3
2020Q3,13.79,1.18,3.64,2.2
2020Q2,12.84,1.29,4.11,2.61
2020Q1,11.81,0.03,0.1,0.07
2019Q4,13.39,0.47,1.44,1.02
2019Q3,13.01,1.15,3.63,2.43
2019Q2,12.09,1.22,3.86,2.54
2019Q1,13.11,1.18,3.71,2.42
2018Q4,12.16,2.13,7.06,4.43
2018Q3,10.44,1.61,5.65,3.4
2018Q2,9.14,1.22,4.33,2.75
2018Q1,9.77,0.19,0.69,0.46
2017Q4,9.61,1.87,6.82,4.38
2017Q3,8.13,1.06,4.15,2.58
2017Q2,7.27,0.91,3.56,2.28
2017Q1,8.15,0.21,0.8,0.51
2016Q4,7.98,0.91,3.51,2.14
2016Q3,7.25,0.69,2.74,1.52
2016Q2,6.69,0.99,3.99,2.04
2016Q1,6.7,1.02,4.18,2.17
2015Q4,5.87,0.89,3.86,2.02
2015Q3,5.17,0.05,0.21,0.11
2015Q2,5.13,-0.01,-0.04,-0.02
2015Q1,6.35,0.13,0.53,0.29
2014Q4,6.25,1.61,6.93,3.82
2014Q3,4.9,0.96,4.4,2.39
2014Q2,4.12,0.4,1.77,1.03
