季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,-0.41,-0.17,-1.04,-0.8
2020Q4,1.51,0.57,3.34,2.56
2020Q3,-4.86,-0.3,-1.88,-1.41
2020Q2,-1.41,0.93,6.18,4.55
2020Q1,-10.89,-1.12,-6.93,-5.18
2019Q4,2.14,0.07,0.27,0.22
2019Q3,1.19,-0.23,-1.35,-1.14
2019Q2,-52.92,0.18,1.03,0.87
2019Q1,-54.94,0.17,0.91,0.74
2018Q4,-56.71,0.63,5.81,4.45
2018Q3,-67.97,-0.04,-0.4,-0.3
2018Q2,-67.2,-0.09,-0.89,-0.68
2018Q1,-65.47,-0.25,-2.31,-1.75
2017Q4,-62.94,-0.16,-1.6,-1.21
2017Q3,-60.33,-0.16,-1.39,-1.04
2017Q2,-57.37,-0.01,-0.04,-0.03
2017Q1,-57.2,-0.28,-2.49,-1.82
2016Q4,-52.0,-0.64,-5.29,-3.81
2016Q3,-39.02,-0.22,-1.85,-1.33
2016Q2,-34.75,-0.13,-1.1,-0.79
2016Q1,-32.13,-0.19,-1.61,-1.15
2015Q4,-28.25,-0.66,-6.05,-4.35
2015Q3,-13.86,-0.26,-2.09,-1.5
2015Q2,-8.2,-0.16,-1.26,-0.91
2015Q1,-48.88,-0.18,-1.63,-1.17
2014Q4,-44.35,-0.14,-1.27,-0.9
2014Q3,-40.59,-0.15,-1.42,-1.02
2014Q2,-35.64,-0.16,-1.53,-1.11
