年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,0.49,0.83,7.27,6.12,0.37
2019,0.34,0.4,3.55,3.11,0.08
2018,0.35,0.51,4.5,4.16,0.0
2017,0.28,0.55,4.79,3.81,0.0
2016,0.33,0.82,7.23,5.37,0.37
2015,0.68,2.91,25.18,18.65,0.0
2014,0.019,1.24,17.15,12.53,0.0
2013,-0.81,0.19,3.26,2.71,0.0
2012,-0.84,-4.62,-83.71,-73.1,0.0
2009,-9.0,-0.75,-65.76,-38.71,0.0
2008,-8.27,-5.02,-125.9,-72.89,0.0
2007,-3.63,-1.84,-23.72,-13.8,0.0
2006,-1.93,0.1,1.16,0.63,0.0
2005,-2.02,0.0,0.06,0.03,0.0
2004,-2.03,-2.22,-23.54,-13.41,0.0
2003,0.07,0.08,0.7,0.4,0.0
2002,-6.19,-1.73,-23.34,-12.68,0.0
2001,-5.88,-1.04,-12.04,-6.16,0.05
2000,-4.28,-3.32,-31.33,-16.4,0.0
1999,1.27,0.12,0.97,0.56,0.0
1998,2.4,1.13,7.88,5.12,0.0
