季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,30.99,1.29,1.47,0.62
2020Q4,29.47,1.87,2.69,1.12
2020Q3,27.04,1.75,2.78,1.17
2020Q2,24.97,1.28,1.55,0.68
2020Q1,28.5,-0.83,-0.54,-0.24
2019Q4,29.49,1.32,1.73,0.75
2019Q3,30.03,1.14,1.57,0.69
2019Q2,28.68,1.12,1.7,0.76
2019Q1,32.67,1.88,2.18,0.96
2018Q4,30.87,1.75,2.0,0.88
2018Q3,28.89,2.19,2.88,1.25
2018Q2,26.37,3.37,3.85,1.71
2018Q1,26.95,2.74,3.14,1.43
2017Q4,23.93,3.77,4.1,1.88
2017Q3,19.78,1.45,2.14,0.98
2017Q2,19.49,2.27,3.15,1.46
2017Q1,21.94,2.25,3.07,1.46
2016Q4,19.07,2.29,3.12,1.57
2016Q3,16.58,2.27,3.16,1.62
2016Q2,9.92,3.69,4.83,2.5
2016Q1,10.26,3.09,4.12,2.14
2015Q4,6.94,3.19,4.47,2.17
2015Q3,3.75,2.22,3.25,1.55
2015Q2,1.53,2.24,3.43,1.58
2015Q1,0.0,2.42,3.84,1.73
2014Q4,16.07,11.42,18.52,8.48
2013Q4,4.65,10.18,21.15,9.86
