年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-8.34,-0.29,-7.35,-1.07,0.0
2019,-7.94,0.02,0.37,0.06,0.0
2018,-7.91,-2.38,-107.9,-12.96,0.0
2017,-4.8,-1.79,-49.72,-6.84,0.0
2016,-2.39,-1.34,-26.84,-5.36,0.0
2015,-0.56,-0.89,-18.94,-4.23,0.0
2014,0.56,-1.51,-17.89,-4.52,0.0
2013,2.64,-0.61,-11.02,-3.11,0.0
2012,3.47,-1.7,-17.88,-5.7,0.0
2011,-2.03,-1.5,-10.15,-3.59,0.0
2010,-15.78,0.08,1.09,0.38,0.0
2009,-16.6,-1.01,-12.67,-4.34,0.0
2008,-15.0,-0.49,-7.8,-2.74,0.0
2007,-13.6,-1.27,-17.15,-6.47,0.0
2006,-10.03,-0.27,-3.79,-1.47,0.0
2005,-9.3,-0.76,-9.96,-3.76,0.0
2004,-6.97,-0.86,-11.35,-4.36,0.0
2003,-4.54,-0.7,-7.05,-2.86,0.0
2002,-2.58,-0.92,-8.69,-3.92,0.0
2001,-2.64,-0.94,-9.29,-4.1,0.0
2000,0.2,-0.82,-7.68,-3.72,0.0
1999,2.68,-0.2,-1.71,-1.08,0.0
1998,3.27,0.84,7.02,4.94,0.0
1997,3.8,1.22,10.17,7.51,0.0
1996,2.07,0.88,7.26,5.58,0.0
