年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,27.04,7.81,16.3,8.94,5.0
2019,22.96,7.61,16.72,10.23,4.5
2018,21.59,5.88,15.44,10.48,6.5
2017,21.06,5.42,15.05,9.86,5.0
2016,21.17,6.06,16.26,9.88,5.45
2015,18.79,5.28,14.16,8.23,4.5
2014,17.63,5.71,16.32,9.46,4.5
2013,14.31,4.43,14.22,8.45,3.5
2012,13.62,5.29,17.74,9.78,3.94
2011,8.12,3.71,14.08,7.47,3.0
2010,7.83,3.85,14.45,8.52,3.48
2009,8.71,5.69,21.02,13.19,4.5
2008,5.07,3.68,13.87,7.77,3.0
2007,2.7,6.44,26.32,11.66,5.93
2006,3.47,10.71,60.52,25.89,6.0
2005,1.06,4.65,25.48,10.13,1.0
