季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,30.71,0.44,0.97,0.76
2020Q4,30.2,0.76,1.73,1.28
2020Q3,29.32,0.88,2.08,1.54
2020Q2,28.3,0.91,2.18,1.7
2020Q1,29.21,-0.34,-0.78,-0.6
2019Q4,29.6,0.94,2.18,1.59
2019Q3,28.5,0.84,1.92,1.4
2019Q2,27.53,1.03,1.97,1.52
2019Q1,30.4,0.64,1.24,0.99
2018Q4,29.76,1.24,2.47,1.88
2018Q3,28.52,2.52,5.14,3.66
2018Q2,26.0,2.1,4.16,3.12
2018Q1,28.91,1.84,3.63,2.87
2017Q4,27.07,2.31,4.81,3.73
2017Q3,24.75,2.67,5.91,4.25
2017Q2,22.08,2.33,5.06,3.75
2017Q1,27.76,1.93,3.98,3.19
2016Q4,25.83,2.97,5.91,4.64
2016Q3,23.01,2.52,6.13,4.65
2016Q2,20.53,2.6,6.79,5.01
2016Q1,19.99,2.87,7.71,5.73
2015Q4,17.41,2.57,7.29,5.22
2015Q3,15.1,2.77,8.51,5.86
2015Q2,12.61,2.74,9.35,6.42
2015Q1,10.14,2.31,8.31,5.83
2014Q4,9.23,2.31,8.22,5.77
2014Q3,7.32,2.59,10.13,6.86
2014Q2,5.22,2.51,12.46,6.9
