年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,1902.0,3.15,5.88,4.1,2.4
2019,1983.0,5.86,10.59,7.48,4.4
2018,1984.0,7.78,14.15,10.14,5.8
2017,1821.0,7.76,15.01,10.6,5.7
2016,1627.0,6.19,13.12,8.96,4.6
2015,1476.0,4.85,10.79,7.23,3.6
2014,1285.0,2.81,6.53,4.26,1.7
2013,1233.0,3.25,8.5,5.38,1.9
2012,1124.0,2.43,6.35,4.17,1.2
2011,1193.0,5.84,14.23,10.15,4.0
2010,1252.0,7.44,18.74,13.27,6.8
2009,1041.0,4.5,13.58,8.8,4.0
2008,908.8,3.45,9.18,6.0,1.8
2007,1097.0,8.36,21.64,14.31,6.7
2006,872.1,5.4,18.01,11.22,4.4
2005,809.2,5.98,22.73,13.92,4.1
2004,708.4,7.13,29.88,17.62,3.6
2003,447.5,3.45,16.21,8.96,1.8
2002,348.2,2.18,10.59,5.64,1.2
2001,280.4,1.58,7.58,3.93,0.7
2000,279.6,3.35,15.76,8.11,1.0
1999,204.7,2.28,11.52,6.23,0.9
1998,172.6,2.13,11.67,6.13,0.7
1997,156.7,2.03,11.95,6.15,0.0
1996,148.1,2.68,16.01,9.29,0.9
1995,133.9,2.64,15.89,9.64,1.1
1994,121.4,2.66,16.89,10.65,1.1
