年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,13.67,3.2,14.27,6.66,1.6
2019,12.14,3.18,15.19,7.54,1.6
2018,10.86,3.32,16.53,8.89,1.8
2017,9.03,2.76,15.3,8.14,1.3
2016,8.31,3.11,17.34,9.1,1.8
2015,7.09,2.55,15.25,7.83,1.55
2014,6.67,3.03,19.22,9.43,1.8
2013,5.61,2.77,19.11,8.8,1.0
2012,4.39,2.35,16.45,7.17,0.7
2011,3.61,2.0,14.78,6.48,1.2
2010,3.2,2.38,17.99,8.15,1.5
2009,2.34,1.5,12.06,5.45,0.9
2008,1.64,0.8,8.04,3.56,0.6
2007,1.67,0.97,9.56,4.35,0.3
2006,1.37,0.64,6.4,3.04,0.5
2005,1.18,0.22,2.73,1.32,0.35
2004,1.59,0.95,7.41,3.77,0.5
2003,1.53,1.03,8.0,4.53,0.5
2002,1.41,1.08,8.51,5.24,0.5
2001,0.96,0.52,4.23,2.73,0.42
2000,0.94,0.53,4.39,3.0,0.45
1999,0.98,0.67,5.32,3.73,0.55
1998,0.92,0.64,4.85,3.46,0.55
