年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,2.95,0.33,2.68,2.35,0.3
2019,3.45,0.7,5.12,4.61,0.6
2018,4.72,1.62,11.9,10.65,1.4
2017,7.21,3.5,25.22,20.19,3.0
2016,7.25,3.95,32.47,21.16,3.3
2015,1.59,0.51,4.17,2.49,0.7
2014,1.75,0.63,4.28,2.69,0.53
2013,0.72,0.33,2.77,1.87,0.3
2012,0.17,-0.24,-2.63,-2.02,0.0
2011,-0.8,0.17,1.46,1.25,0.0
2010,-1.08,0.06,0.66,0.58,0.0
2009,-1.17,0.95,10.53,8.63,0.0
2008,-2.71,-1.22,-12.16,-9.75,0.0
2007,-0.74,-0.69,-6.79,-5.71,0.0
2006,0.38,-0.38,-3.26,-2.67,0.0
2005,1.32,0.0,-0.05,-0.04,0.15
2004,2.33,0.82,6.65,5.08,0.5
2003,0.93,-0.33,-2.83,-2.16,0.0
2002,1.51,-0.35,-2.92,-2.24,0.0
2001,2.12,-0.09,-0.83,-0.64,0.0
2000,3.08,0.76,6.53,4.97,0.35
1999,3.5,1.17,9.17,7.12,0.0
1998,2.71,1.05,7.92,6.21,0.0
1997,2.66,1.49,11.66,8.47,0.0
1996,2.3,1.25,9.03,6.45,0.0
