年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,3.33,0.73,5.43,1.15,0.0
2019,2.74,0.27,2.15,0.51,0.0
2018,11.84,0.13,1.06,0.25,0.0
2017,1.86,0.41,3.34,0.84,0.0
2016,1.48,0.5,4.25,1.04,0.0
2015,1.04,1.24,11.2,2.63,0.0
2014,-12.03,-5.33,-129.9,-28.62,0.0
2013,0.57,0.09,3.31,0.52,0.0
2012,-29.68,-1.41,-154.0,-10.43,0.0
2011,-7.11,-1.42,-82.93,-8.56,0.0
2010,-4.83,-1.0,-33.44,-5.45,0.0
2009,-3.19,-1.56,-36.85,-7.75,0.0
2008,-0.65,0.21,4.2,0.98,0.0
2007,-6.6,-0.14,-4.44,-1.03,0.0
2006,-6.32,-0.64,-8.78,-1.99,0.0
2005,-4.95,-1.45,-27.18,-6.03,0.0
