年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,0.89,-0.05,-0.48,-0.18,0.3
2019,0.96,0.0,0.02,0.01,0.3
2018,0.96,-0.21,-1.73,-0.75,0.3
2017,1.25,-0.29,-2.32,-1.05,0.3
2016,1.79,0.47,3.63,1.71,0.3
2015,1.27,-0.28,-2.07,-1.01,0.3
2014,2.14,0.1,0.7,0.34,0.3
2013,2.42,-0.08,-0.59,-0.34,0.3
2012,2.95,-0.21,-1.44,-1.04,0.3
2011,3.44,2.91,21.83,14.85,0.3
2010,-0.59,-1.66,-12.95,-8.4,0.0
2009,1.72,0.2,1.48,0.98,0.0
2008,1.44,0.09,0.63,0.4,0.0
2007,1.71,1.17,8.75,5.23,0.27
2006,-8.44,-0.49,-5.96,-3.61,0.0
2005,-7.35,-3.44,-34.03,-22.9,0.0
2004,0.36,0.03,0.25,0.17,0.0
2003,0.75,0.34,2.79,1.79,0.1
2002,-6.96,-3.14,-23.06,-13.25,0.0
2001,-11.21,-3.4,-28.96,-15.91,0.0
2000,0.14,0.05,0.35,0.18,0.0
1999,-0.5,-0.55,-4.1,-1.94,0.0
1998,2.94,0.68,5.05,2.35,0.0
1997,1.13,0.38,2.7,1.37,0.0
1996,-2.31,-1.14,-8.25,-4.62,0.0
