年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,20.19,0.39,2.48,1.53,0.3
2019,19.01,0.66,4.35,2.54,0.3
2018,17.98,0.73,5.11,2.96,0.5
2017,16.74,0.67,4.62,2.71,0.5
2016,15.72,0.86,5.94,3.51,0.5
2015,16.83,1.08,7.3,4.4,0.5
2014,16.5,1.16,7.81,4.82,0.5
2013,15.56,1.24,8.42,5.31,0.5
2012,14.13,1.45,10.16,6.47,0.5
2011,12.24,1.07,7.46,4.85,0.5
2010,13.88,1.85,12.74,8.58,0.6
2009,9.39,0.82,5.95,3.89,0.7
2008,6.98,0.23,1.67,1.05,0.2
2007,7.31,0.29,2.02,1.31,0.3
2006,7.45,0.32,2.6,1.79,0.3
2005,8.19,0.32,2.57,1.87,0.5
2004,9.1,0.92,6.84,5.04,0.5
2003,7.71,0.71,5.32,3.83,0.5
2002,7.08,0.63,4.83,3.38,0.5
2001,5.6,0.29,2.29,1.5,0.15
2000,5.87,0.43,3.34,2.15,0.0
