年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,1840.0,3.34,5.36,3.98,2.5
2019,1865.0,4.89,8.18,6.03,3.8
2018,1937.0,8.36,13.02,9.53,6.2
2017,1818.0,9.33,15.04,10.75,7.0
2016,1612.0,7.5,13.68,9.22,5.6
2015,1384.0,4.72,9.63,6.06,3.5
2014,1187.0,1.8,4.41,2.65,1.2
2013,1232.0,4.25,9.11,5.26,2.5
2012,1038.0,1.29,2.99,1.75,0.65
2011,1198.0,5.81,11.31,7.2,4.0
2010,1295.0,8.33,17.49,11.13,7.5
2009,1078.0,5.19,12.35,7.07,4.5
2008,849.8,1.1,2.89,1.68,0.9
2007,1178.0,8.63,20.34,12.69,7.0
2006,967.9,5.88,17.82,10.61,4.8
2005,940.4,7.43,24.85,14.4,5.2
