年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,4.51,0.95,5.49,4.54,0.9
2019,4.55,0.94,5.53,4.58,1.0
2018,4.81,1.44,8.85,7.29,1.3
2017,4.77,1.28,8.07,6.64,1.4
2016,4.87,1.63,10.32,8.43,1.45
2015,4.64,1.64,10.47,8.49,1.3
2014,4.33,1.21,8.64,7.04,1.2
2013,4.09,1.08,7.41,6.1,0.9
2012,4.19,1.31,9.24,7.6,1.2
2011,0.98,1.06,7.81,6.28,0.9
2010,0.17,1.01,8.02,6.29,0.16
2009,-0.74,-0.16,-0.77,-0.6,0.0
2008,-0.59,0.05,0.66,0.5,0.0
2007,-0.63,0.15,1.32,0.95,0.0
2006,-0.77,0.0,-0.03,-0.02,0.0
2005,-0.77,-0.27,-3.05,-2.12,0.0
2004,-0.53,-0.05,-0.9,-0.57,0.0
2003,-0.49,0.02,0.18,0.11,0.0
2002,-0.47,-0.39,-3.72,-2.22,0.0
2001,0.059,-0.9,-8.07,-4.81,0.0
2000,0.87,-1.32,-10.76,-6.83,0.0
1999,2.06,-0.01,-0.85,-0.66,0.0
1998,0.0,0.1,1.0,1.0,0.0
