季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,0.72,0.16,1.24,0.71
2020Q4,0.66,0.24,1.67,0.97
2020Q3,0.55,0.06,0.54,0.31
2020Q2,0.53,0.16,1.29,0.75
2020Q1,0.67,0.16,1.26,0.77
2019Q4,0.61,0.16,1.2,0.73
2019Q3,0.55,0.2,1.73,1.06
2019Q2,0.47,0.06,0.55,0.35
2019Q1,0.58,0.19,1.43,0.93
2018Q4,0.5,0.14,1.01,0.68
2018Q3,0.46,0.05,0.51,0.33
2018Q2,0.44,0.06,0.48,0.31
2018Q1,0.52,0.12,0.57,0.37
2017Q4,0.46,0.34,2.57,1.65
2017Q3,0.32,0.06,0.35,0.22
2017Q2,0.29,-0.04,-0.24,-0.15
2017Q1,0.31,-0.14,-1.07,-0.68
2016Q4,0.37,0.17,1.29,0.83
2016Q3,0.36,-0.04,-0.21,-0.13
2016Q2,0.37,0.09,0.64,0.39
2016Q1,0.34,0.01,0.37,0.23
2015Q4,0.33,0.16,1.13,0.7
2015Q3,0.31,-0.01,0.13,0.08
2015Q2,0.31,0.13,1.03,0.63
2015Q1,0.26,-0.22,-1.35,-0.85
2014Q4,0.35,-0.09,-0.53,-0.34
2014Q3,0.4,-0.2,-1.21,-0.82
2014Q2,0.49,-0.15,-1.06,-0.76
