季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,2.11,1.02,4.38,1.73
2020Q4,1.66,0.36,1.61,0.63
2020Q3,1.5,0.43,1.93,0.73
2020Q2,1.31,0.81,3.63,1.4
2020Q1,1.53,0.51,2.1,0.88
2019Q4,1.92,0.53,2.46,1.08
2019Q3,1.68,0.68,3.02,1.29
2019Q2,1.38,0.68,2.74,1.33
2019Q1,1.97,0.41,1.67,0.97
2018Q4,1.78,0.53,2.27,1.27
2018Q3,1.55,0.8,3.48,1.94
2018Q2,1.19,0.91,4.07,2.58
2018Q1,1.68,0.3,1.32,0.95
2017Q4,1.54,0.72,3.25,2.39
2017Q3,1.22,0.78,3.64,2.53
2017Q2,0.88,0.91,4.07,2.97
2017Q1,2.01,0.6,2.56,2.05
2016Q4,1.75,0.68,3.0,2.43
2016Q3,1.45,0.52,2.35,1.92
2016Q2,1.22,0.62,2.82,2.33
2016Q1,1.22,0.4,1.83,1.53
2015Q4,1.05,0.44,2.08,1.71
2015Q3,0.85,0.68,3.31,2.66
2015Q2,0.55,0.52,2.6,2.05
2015Q1,0.31,0.45,2.29,1.8
2014Q4,0.12,0.34,1.78,1.36
2014Q3,-0.037,0.46,2.43,1.79
2014Q2,-0.24,0.32,1.74,1.25
