季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,10.1,0.89,4.49,3.31
2020Q4,9.13,0.77,4.06,2.97
2020Q3,8.31,0.91,5.05,3.5
2020Q2,7.32,0.74,4.06,2.89
2020Q1,8.35,0.18,0.95,0.72
2019Q4,8.16,0.24,1.33,0.98
2019Q3,7.89,0.61,3.37,2.31
2019Q2,7.23,0.9,4.81,3.38
2019Q1,8.71,0.3,1.53,1.16
2018Q4,8.38,0.48,2.56,1.89
2018Q3,7.89,0.74,4.02,2.72
2018Q2,7.09,0.93,4.89,3.34
2018Q1,9.27,0.46,2.29,1.7
2017Q4,8.76,0.72,3.76,2.69
2017Q3,7.96,0.88,4.77,3.01
2017Q2,7.0,1.23,6.43,4.28
2017Q1,9.14,0.47,2.36,1.79
2016Q4,8.63,0.62,3.14,2.31
2016Q3,7.97,0.93,4.9,3.26
2016Q2,6.95,1.56,8.02,5.53
2016Q1,8.74,0.7,3.49,2.66
2015Q4,7.98,0.7,3.62,2.62
2015Q3,7.22,1.24,6.76,4.44
2015Q2,5.87,1.2,6.5,4.51
2015Q1,7.6,0.42,2.19,1.74
2014Q4,7.15,0.58,3.12,2.38
2014Q3,6.52,0.89,5.04,3.38
2014Q2,5.54,1.17,6.54,4.58
