年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,19.36,1.12,4.38,1.61,1.1
2019,21.51,2.55,9.68,3.99,2.0
2018,23.75,4.85,18.39,8.33,3.5
2017,20.62,4.81,22.26,9.56,3.75
2016,17.57,4.78,27.84,11.27,3.5
2015,14.09,4.62,30.37,13.35,3.2
2014,8.32,3.06,23.12,10.21,2.1
2013,4.08,2.3,17.25,6.79,1.29
2012,1.56,1.67,13.91,4.76,0.22
2011,-4.62,1.16,11.37,3.87,0.0
2010,-7.56,0.61,7.29,2.35,0.0
2009,-13.0,-6.97,-70.87,-18.29,0.0
2008,-2.28,-1.43,-11.02,-3.21,0.0
2007,3.04,1.77,10.79,3.91,1.34
2006,3.23,2.41,14.34,5.31,1.0
2005,3.05,3.03,22.0,7.8,1.0
2004,1.42,1.64,14.29,5.21,0.0
2003,1.14,1.32,11.0,4.48,0.4
2002,0.84,1.04,8.84,3.48,0.0
2001,0.55,0.5,4.38,1.59,0.0
2000,0.69,0.78,6.33,2.15,0.0
