年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,11.19,-2.45,-10.01,-6.54,0.2
2019,15.54,0.55,2.1,1.36,0.5
2018,15.5,0.54,1.67,1.05,0.5
2017,15.39,0.64,1.21,0.75,0.5
2016,16.25,1.54,4.28,2.49,1.2
2015,15.78,0.65,-4.35,-2.4,1.2
2014,17.31,0.97,-2.95,-1.63,1.6
2013,19.64,1.62,-1.55,-0.88,2.5
2012,18.41,1.2,0.47,0.28,1.0
2011,20.25,3.27,9.85,6.05,2.3
2010,18.99,3.47,12.18,7.87,2.42
2009,16.09,1.89,7.86,5.03,1.5
2008,15.41,1.33,6.53,4.25,1.0
2007,17.12,4.21,14.79,9.24,2.5
2006,16.62,5.5,20.6,11.87,3.68
2005,13.96,4.47,17.88,10.38,3.0
2004,12.31,4.48,19.11,11.87,3.0
2003,10.64,3.16,13.25,8.49,3.0
2002,10.54,4.21,17.85,11.63,3.0
2001,8.92,4.27,19.06,12.51,3.0
2000,7.45,4.48,19.77,12.56,1.8
1999,5.98,5.07,22.05,11.87,0.0
1998,4.86,8.4,42.16,16.31,0.0
1997,2.29,5.24,25.28,9.04,0.0
