年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,48.38,-2.14,-5.85,-4.6,0.6
2019,50.76,-0.35,-0.94,-0.72,0.0
2018,55.83,2.03,5.38,3.86,2.0
2017,52.68,0.94,3.28,2.36,1.5
2016,55.99,1.83,7.32,5.47,1.5
2015,54.57,1.69,6.64,4.88,1.5
2014,55.2,1.75,6.71,4.89,1.8
2013,56.24,1.89,7.71,5.73,2.0
2012,53.78,1.74,7.51,5.75,1.3
2011,58.13,1.44,6.36,5.03,1.0
2010,57.45,2.5,11.84,9.68,1.25
2009,48.93,2.07,10.86,8.36,1.0
2008,39.67,0.18,0.92,0.67,0.5
2007,47.79,2.12,10.33,7.58,1.5
2006,45.47,2.34,12.1,8.21,1.7
2005,40.67,2.27,12.77,8.27,1.5
2004,39.26,2.54,14.56,10.41,2.0
2003,37.44,3.27,19.23,14.68,2.2
2002,31.27,3.27,20.38,15.82,2.2
2001,23.88,2.61,18.88,13.77,2.0
2000,17.43,2.31,17.34,11.77,0.0
1999,21.98,4.75,28.35,19.14,0.0
1998,14.7,2.98,18.39,11.93,1.0
