年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,620.6,3.79,17.37,6.33,2.7
2019,546.9,3.35,16.55,6.44,2.5
2018,494.7,3.07,14.9,6.56,2.5
2017,630.5,7.01,34.86,15.12,5.5
2016,355.1,2.56,15.35,6.09,2.1
2015,328.8,2.48,14.1,5.41,2.0
2014,289.5,2.04,12.62,4.74,1.4
2013,286.9,2.48,15.75,5.84,1.5
2012,257.9,2.03,12.75,4.71,1.4
2011,201.0,2.08,12.72,4.87,1.0
2010,191.3,2.55,15.59,6.07,1.4
2009,152.1,2.02,12.27,4.5,0.8
2008,106.4,0.96,5.98,2.16,0.44
2007,169.7,3.1,17.4,5.97,2.0
2006,103.7,1.08,8.65,2.71,0.6
2005,92.32,0.62,6.53,2.23,0.65
2004,84.91,0.77,5.56,2.05,0.36
2003,81.39,0.86,7.05,2.5,0.6
2002,65.13,0.45,3.65,1.36,0.35
2001,80.71,0.9,7.46,2.93,0.6
2000,89.57,1.07,8.7,3.68,0.6
1999,102.5,1.21,9.3,4.66,0.8
1998,121.2,1.63,11.65,6.91,1.0
1997,129.4,3.58,23.99,13.76,0.0
1996,98.18,1.76,11.62,5.98,0.0
1995,97.49,1.77,11.11,5.54,0.0
1994,99.52,4.51,30.56,15.06,0.0
