年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,4.1,0.0,0.01,0.01,0.2
2019,4.23,0.15,0.9,0.57,0.3
2018,4.45,0.12,0.74,0.46,0.4
2017,3.94,0.05,0.28,0.17,0.1
2016,4.27,0.69,3.97,2.28,0.3
2015,4.26,0.94,5.38,3.09,0.7
2014,4.62,1.55,9.84,5.51,1.3
2013,4.39,1.26,9.02,4.67,1.3
2012,3.89,1.35,10.1,5.05,0.7
2011,4.19,1.83,13.11,7.01,0.5
2010,3.67,1.58,11.25,6.89,0.7
2009,3.76,2.03,14.05,8.95,1.0
2008,2.88,1.55,11.35,6.92,1.0
2007,2.68,1.72,12.96,7.63,0.8
2006,1.8,0.59,4.59,2.68,0.6
2005,2.77,2.16,15.98,9.37,1.0
2004,2.31,1.74,13.11,7.24,1.0
2003,2.34,2.39,17.04,8.91,1.0
