季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,90.4,0.91,4.57,1.52
2020Q4,108.7,0.66,3.39,1.15
2020Q3,88.81,0.76,4.0,1.4
2020Q2,65.96,0.4,2.16,0.81
2020Q1,54.01,0.18,0.95,0.37
2019Q4,61.96,0.11,0.42,0.16
2019Q3,58.23,0.39,2.01,0.73
2019Q2,46.47,0.13,0.72,0.27
2019Q1,66.06,0.23,1.18,0.46
2018Q4,59.01,0.18,0.83,0.31
2018Q3,53.38,0.3,1.51,0.56
2018Q2,44.22,0.29,1.48,0.57
2018Q1,35.13,0.23,1.16,0.44
2017Q4,28.16,0.35,1.81,0.67
2017Q3,17.55,0.48,2.58,0.97
2017Q2,3.07,0.08,0.44,0.17
2017Q1,-33.86,0.02,0.11,0.04
2016Q4,-34.48,-1.9,-9.54,-3.56
2016Q3,22.85,0.08,0.39,0.16
2016Q2,20.36,0.18,0.83,0.34
2016Q1,14.98,0.02,0.07,0.03
2015Q4,14.52,0.08,0.36,0.14
2015Q3,12.15,0.06,0.3,0.11
2015Q2,10.79,0.0,0.0,0.0
2015Q1,10.77,0.06,0.28,0.09
2014Q4,9.04,0.24,1.1,0.34
2014Q3,2.49,0.24,1.13,0.34
2014Q2,-4.01,0.18,0.85,0.26
