年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,0.85,0.65,5.82,3.54,0.5
2019,0.71,0.53,4.76,2.98,0.5
2018,0.42,0.71,6.92,5.4,0.2
2017,-53.42,0.11,13.56,9.48,0.0
2016,-27.62,-0.17,-19.15,-10.05,0.0
2015,-27.12,-0.72,-54.65,-37.57,0.0
2014,-24.98,-0.25,-14.12,-10.77,0.0
2013,-20.66,-0.33,-17.51,-12.84,0.0
2012,-19.83,-1.02,-39.61,-29.7,0.0
2011,-17.26,-0.05,-1.49,-1.04,0.0
2010,-14.54,-2.48,-60.99,-38.42,0.0
2009,-6.71,-1.58,-23.9,-15.82,0.0
2008,-4.19,-2.42,-28.05,-18.94,0.0
2007,-1.86,-1.32,-14.26,-7.13,0.0
2006,-0.06,-0.22,-2.31,-0.77,0.0
2005,0.16,0.28,0.78,0.25,0.0
