年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-0.89,0.0,1.66,0.3,0.0
2019,-11.24,-3.04,-43.64,-15.61,4.0
2018,-6.1,-1.1,-11.42,-7.7,0.0
2017,-4.22,-0.85,-7.88,-3.17,0.0
2016,-2.55,-0.85,-6.77,-2.53,0.0
2015,-1.13,-0.74,-5.36,-2.82,0.0
2014,0.073,-0.87,-6.42,-4.64,0.0
2013,1.5,-0.87,-6.08,-4.93,0.0
2012,6.72,6.53,44.01,27.41,0.0
2011,-0.69,0.35,3.1,1.49,0.0
2010,-0.56,9.53,112.4,38.69,0.0
2009,-8.65,-1.34,-22.06,-5.71,0.0
2008,-7.51,-1.09,-16.14,-4.92,0.0
2007,-11.73,3.79,31.65,8.21,0.0
2006,-12.69,-2.0,-13.42,-2.53,0.0
2005,-7.52,-5.92,-32.24,-6.55,0.0
2004,-13.56,-2.59,-29.25,-7.48,0.0
2003,-12.63,-0.62,-7.09,-1.91,0.0
2002,-11.65,-1.61,-17.76,-4.62,0.0
2001,-12.84,-1.01,-14.13,-3.74,0.0
2000,-10.75,-1.27,-16.79,-4.67,0.0
1999,-7.15,-3.43,-36.71,-11.23,0.0
1998,0.076,2.59,21.86,6.16,0.0
1997,0.83,2.34,23.12,6.65,0.0
1996,-3.28,-0.82,-8.34,-3.45,0.0
1995,-3.16,-1.79,-16.47,-8.61,0.0
1994,-0.35,-0.2,-1.69,-0.94,0.0
