年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,26.52,10.75,21.84,16.15,10.0
2019,25.92,12.32,25.25,17.9,10.0
2018,23.98,12.03,26.06,17.76,10.0
2017,21.93,11.04,24.75,17.52,9.5
2016,20.25,11.31,26.63,19.57,9.0
2015,17.21,9.42,24.57,18.09,7.5
2014,14.82,8.09,23.1,16.43,6.5
2013,12.69,7.02,22.07,15.27,5.5
2012,10.62,7.56,27.07,18.69,4.5
2011,7.83,3.9,15.32,10.32,2.5
2010,8.05,6.82,26.78,15.77,4.14
2009,5.51,5.07,22.16,10.92,3.47
2008,2.3,0.5,2.52,1.05,0.36
2007,3.59,3.38,18.34,8.8,2.23
2006,2.06,1.35,8.18,5.89,1.0
2005,1.54,0.42,2.67,2.05,0.5
2004,1.58,0.38,2.25,1.68,0.25
2003,2.4,1.84,10.37,7.38,1.5
2002,2.83,3.17,18.54,11.28,1.5
2001,2.35,3.5,25.15,12.74,1.5
2000,1.38,2.6,21.21,10.68,0.2
