年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,20.03,1.06,7.77,2.89,0.53
2019,21.42,2.67,20.55,6.7,1.33
2018,12.34,1.94,12.41,3.21,0.8
2017,2.59,1.31,11.99,2.68,0.0
2016,-3.62,-1.53,-13.94,-3.08,0.0
2015,5.2,-3.78,-22.43,-5.8,0.0
2014,24.83,-0.49,-3.41,-1.0,0.0
2013,31.47,1.72,6.37,1.92,0.6
2012,26.68,1.6,6.16,1.91,0.6
2011,25.2,1.35,5.86,1.92,0.6
2010,21.39,3.23,23.04,7.98,0.6
2009,8.1,1.35,12.38,4.59,0.6
2008,1.25,1.04,10.71,3.78,0.0
2007,-4.01,0.89,9.88,3.26,0.0
2006,-8.53,0.89,10.67,3.3,0.0
2005,-12.05,0.59,8.43,2.38,0.0
2004,-39.27,-1.9,-27.13,-7.27,0.0
2003,-29.63,0.15,2.07,0.56,0.0
2002,-30.39,0.13,1.69,0.44,0.0
2001,-32.89,-0.77,-10.92,-2.67,0.0
2000,-28.97,0.01,0.1,0.02,0.0
1999,-27.52,-5.44,-69.26,-15.59,0.0
1998,-32.21,-1.41,-11.89,-4.09,0.0
1997,1.71,-0.02,-0.13,-0.06,0.0
1996,1.84,-0.79,-4.84,-2.39,0.0
1995,7.36,0.22,1.41,0.75,0.0
1994,9.63,0.51,4.12,2.36,0.0
