季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,2.2,0.63,4.84,1.64
2020Q4,1.81,0.24,1.85,0.59
2020Q3,1.53,0.1,0.77,0.24
2020Q2,1.41,0.09,0.71,0.23
2020Q1,1.31,0.07,0.54,0.18
2019Q4,1.83,0.17,1.18,0.36
2019Q3,1.67,0.2,1.69,0.49
2019Q2,1.49,0.39,3.32,0.97
2019Q1,1.59,0.71,6.17,1.68
2018Q4,0.95,0.74,6.95,1.62
2018Q3,0.28,0.08,0.73,0.16
2018Q2,0.21,0.43,4.29,1.06
2018Q1,-1.77,0.18,2.19,0.74
2017Q4,-1.97,0.12,1.41,0.61
2017Q3,-2.09,0.09,1.18,0.47
2017Q2,-2.19,0.21,2.71,1.28
2017Q1,-2.41,0.2,2.66,1.57
2016Q4,-2.63,-0.13,-1.43,-0.82
2016Q3,-2.52,-0.11,-1.42,-1.05
2016Q2,-2.4,-0.15,-1.94,-1.86
2016Q1,-2.28,-0.13,-2.09,-1.93
2015Q4,-2.2,-0.45,-5.69,-5.24
2015Q3,-1.97,0.17,2.45,2.26
2015Q2,-2.05,-0.15,-2.65,-2.42
2015Q1,-1.99,-0.2,-3.49,-3.07
2014Q4,-1.89,-0.14,-2.32,-2.01
2014Q3,-1.83,-0.22,-3.57,-3.07
2014Q2,-1.73,-0.24,-3.76,-3.22
