季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,-1.78,-0.13,-2.11,-1.76
2020Q4,-1.72,-0.77,-12.13,-10.78
2020Q3,-1.38,-0.04,-0.56,-0.45
2020Q2,-1.37,-0.21,-3.02,-2.04
2020Q1,-1.28,0.01,0.13,0.09
2019Q4,-1.28,-0.35,-4.83,-3.26
2019Q3,-1.13,-0.23,-3.09,-2.06
2019Q2,-1.03,-0.19,-2.48,-1.68
2019Q1,-0.94,-0.27,-3.42,-2.38
2018Q4,-0.82,-0.47,-5.68,-4.0
2018Q3,-0.62,-0.71,-7.93,-5.64
2018Q2,-0.31,-0.11,-1.16,-0.81
2018Q1,-0.26,-0.09,-0.98,-0.67
2017Q4,-0.22,0.17,1.83,1.2
2017Q3,-0.29,0.22,2.4,1.52
2017Q2,-0.38,-0.07,-0.8,-0.5
2017Q1,-0.35,0.2,2.19,1.38
2016Q4,-0.44,0.0,0.02,0.01
2016Q3,-0.45,-0.07,-0.71,-0.45
2016Q2,-0.42,0.05,0.57,0.35
2016Q1,-0.45,-0.08,-0.88,-0.5
2015Q4,-0.41,-0.14,-1.51,-0.84
2015Q3,-0.35,0.09,-0.89,-0.5
2015Q2,-0.31,0.17,1.82,1.02
2015Q1,-0.39,-0.11,-1.21,-0.68
2014Q4,-0.34,0.04,0.39,0.22
2014Q3,-0.34,0.2,2.11,1.22
2014Q2,-0.43,0.13,1.47,0.88
