年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,59.22,0.73,6.38,0.55,0.1
2019,50.12,-0.57,4.34,0.36,0.0
2018,69.06,1.13,7.9,0.62,0.1
2017,63.95,0.7,6.64,0.51,0.1
2016,56.22,-0.18,4.84,0.39,0.0
2015,67.13,0.48,6.56,0.55,0.1
2014,62.86,0.97,9.22,0.76,0.0
2013,53.62,0.85,7.99,0.64,0.0
2012,44.5,0.37,6.56,0.55,0.0
2011,19.47,0.77,5.61,0.5,0.0
2010,10.59,2.46,9.77,0.85,0.0
2009,-16.85,-0.76,-2.71,-0.23,0.0
2008,-8.42,-1.47,-5.23,-0.52,0.0
2007,21.1,1.66,12.27,1.2,0.83
2006,-1.91,-0.96,-18.8,-1.71,0.0
2005,9.29,0.03,-2.52,-0.24,0.0
