年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,26.94,1.7,10.17,4.77,1.3
2019,27.09,1.6,9.64,4.51,1.3
2018,26.38,1.74,10.69,4.86,1.3
2017,23.03,1.5,9.26,3.75,1.0
2016,21.3,1.6,10.1,3.63,0.94
2015,17.36,1.03,6.7,2.28,0.6
2014,17.46,1.51,9.84,3.37,0.9
2013,14.86,1.37,9.22,3.32,0.8
2012,12.8,1.25,8.68,3.59,0.8
2011,13.32,1.02,7.38,3.7,0.8
2010,12.55,1.01,7.48,3.98,0.8
2009,11.84,1.07,8.1,4.08,0.8
2008,10.89,1.1,8.45,4.55,0.7
2007,9.3,0.65,-12.13,-2.94,0.6
2006,9.26,0.62,4.94,0.81,0.6
2005,7.79,0.17,1.57,0.42,0.2
2004,8.39,0.71,5.85,3.43,0.3
2003,7.39,0.78,6.53,3.93,0.2
2002,5.74,0.28,2.42,1.46,0.2
