年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,36.68,0.76,2.97,1.42,0.9
2019,38.31,1.3,4.68,2.22,0.8
2018,37.56,1.74,6.21,3.08,0.5
2017,35.77,2.44,9.05,4.88,1.0
2016,32.68,2.98,12.06,6.76,0.5
2015,28.88,2.48,9.86,5.47,0.5
2014,27.83,3.73,14.75,8.03,1.5
2013,23.16,2.62,11.14,6.01,0.5
2012,20.37,2.84,12.27,6.57,0.5
2011,16.89,3.13,14.26,7.39,1.5
2010,14.33,2.64,12.33,7.27,1.5
2009,12.52,1.55,7.44,5.15,1.5
2008,12.43,3.54,17.88,12.17,1.5
2007,9.6,2.31,13.44,9.58,1.5
2006,7.68,1.96,13.59,10.09,1.0
2005,5.23,0.82,6.18,4.46,0.7
2004,4.09,0.4,2.76,1.89,0.25
2003,4.17,0.52,4.01,2.66,0.4
2002,3.44,0.15,1.16,0.75,0.15
2001,3.38,0.1,0.82,0.53,0.0
2000,4.84,1.0,7.6,5.25,0.0
