年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2020,3.18,2.16,8.83,5.87
2019,3.12,2.21,8.92,6.17
2018,3.19,3.76,15.61,10.94
2017,2.86,4.74,17.85,12.69
2016,2.38,4.19,16.14,11.9
2015,1.96,3.12,12.99,9.49
2014,1.78,3.65,20.17,14.49
2007,0.43,,,
2006,0.5,,,
