年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,0.2,0.38,2.59,1.19,0.0
2019,-0.18,-0.89,-6.22,-2.8,0.0
2018,0.83,-0.94,-6.17,-2.84,0.0
2017,1.82,-0.03,-0.17,-0.08,0.0
2016,1.91,-0.91,-5.61,-2.82,0.0
2015,2.91,0.07,0.42,0.23,0.0
2014,3.38,0.52,3.04,1.69,0.5
2013,3.31,1.02,6.17,3.35,0.47
2012,3.28,1.04,6.37,3.4,1.0
2011,2.34,2.19,14.51,7.89,1.0
2010,0.89,3.86,29.94,13.34,0.3
2009,-1.95,0.84,11.39,3.42,0.0
2008,-2.55,-2.43,-31.83,-9.5,0.0
2007,-0.81,1.07,12.81,3.77,0.0
2006,-1.58,1.27,17.75,4.52,0.0
2005,-2.49,-1.8,-27.52,-6.34,0.0
