年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,2.71,0.15,1.19,1.15,0.0
2019,2.76,-0.46,-3.49,-3.43,0.0
2018,4.11,3.74,29.01,24.81,0.0
2017,0.62,-0.3,-2.7,-2.12,0.0
2016,0.89,-0.12,-1.06,-0.92,0.0
2015,1.17,0.62,5.52,4.46,0.0
2014,0.63,-0.54,-4.8,-3.83,0.0
2013,1.51,0.24,1.97,1.74,0.0
2012,1.96,1.61,12.96,10.9,0.0
2011,0.44,0.1,1.01,0.7,0.0
2010,0.72,0.49,3.73,2.2,0.0
2009,0.57,0.76,6.22,3.73,0.0
2008,0.26,0.65,5.34,2.84,0.0
2007,-4.65,0.7,12.5,4.57,0.0
2006,-1.72,-1.8,-21.42,-6.44,0.0
2005,-5.28,-5.46,-79.86,-34.49,0.0
2004,-1.07,-1.38,-14.69,-7.2,0.0
2003,0.25,0.33,3.3,1.39,0.0
2002,-6.97,-2.93,-55.78,-20.53,0.0
