季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,16.99,0.78,1.51,1.03
2020Q4,16.41,0.4,0.91,0.61
2020Q3,16.12,0.52,1.2,0.8
2020Q2,15.73,-0.27,-0.59,-0.41
2020Q1,17.41,0.94,1.83,1.26
2019Q4,16.72,0.33,0.68,0.45
2019Q3,16.47,1.06,2.21,1.42
2019Q2,15.68,2.23,4.75,2.79
2019Q1,15.51,1.46,2.89,1.58
2018Q4,14.43,0.15,0.23,0.12
2018Q3,14.34,0.52,0.81,0.43
2018Q2,13.95,2.74,5.72,3.01
2018Q1,13.41,0.75,1.54,0.8
2017Q4,12.85,1.02,1.96,0.99
2017Q3,12.09,1.4,3.15,1.53
2017Q2,11.06,1.52,3.53,1.75
2017Q1,11.41,-0.22,-0.51,-0.27
2016Q4,11.57,2.44,5.85,3.08
2016Q3,9.77,0.26,0.58,0.31
2016Q2,9.58,0.72,1.53,0.86
2016Q1,10.52,0.71,1.6,0.95
2015Q4,10.0,1.4,3.45,2.09
2015Q3,9.43,1.55,3.87,2.38
2015Q2,8.28,0.68,1.84,1.24
2015Q1,9.3,1.02,3.08,2.12
2014Q4,8.56,1.32,4.76,2.88
2014Q3,7.69,0.95,3.55,2.05
2014Q2,7.06,1.05,3.96,2.26
