季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,77.81,0.22,0.89,0.36
2020Q4,77.13,1.61,5.2,1.86
2020Q3,72.24,1.49,5.33,1.83
2020Q2,67.72,-0.03,-0.14,0.08
2020Q1,72.05,-0.83,-2.55,-0.67
2019Q4,74.57,2.32,8.02,2.97
2019Q3,67.62,1.12,4.0,1.5
2019Q2,64.21,0.73,2.6,1.05
2019Q1,64.21,0.09,0.31,0.17
2018Q4,63.95,1.78,6.52,2.57
2018Q3,58.63,0.63,2.39,0.95
2018Q2,56.72,-0.48,-1.82,-0.52
2018Q1,59.09,-0.65,-2.4,-0.74
2017Q4,61.04,1.12,4.06,1.63
2017Q3,57.68,0.23,0.83,0.42
2017Q2,57.0,-0.72,-2.69,-0.82
2017Q1,62.68,-0.2,-0.71,-0.13
2016Q4,63.27,1.87,6.48,2.62
2016Q3,57.62,0.54,1.91,0.83
2016Q2,55.99,0.14,0.51,0.25
2016Q1,58.59,-0.19,-0.66,-0.13
2015Q4,59.17,1.85,6.25,2.74
2015Q3,53.66,0.73,2.49,1.16
2015Q2,51.45,-0.53,-1.9,-0.74
