年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,9.5,1.75,13.21,5.3,1.3
2019,7.76,1.57,12.89,5.39,1.0
2018,4.67,0.23,1.72,0.77,0.3
2017,5.17,0.36,2.87,1.3,0.4
2016,6.52,0.96,7.72,3.35,0.8
2015,5.6,0.86,7.14,3.11,0.6
2014,5.26,1.0,8.53,4.26,0.6
2013,3.61,0.44,3.94,2.06,0.32
2012,2.77,0.29,2.53,1.29,0.25
2011,4.23,0.43,3.57,1.87,0.5
2010,5.73,1.05,8.51,4.67,1.0
2009,6.72,1.7,13.33,6.49,1.0
2008,8.32,3.26,23.97,10.26,1.2
2007,6.96,3.21,25.15,10.05,2.0
2006,3.3,1.09,9.57,3.76,1.29
2005,1.86,0.67,6.09,2.56,0.34
1999,4.13,1.56,11.71,6.59,0.0
1998,3.42,1.61,10.53,6.08,0.15
