季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,-31.61,-1.11,-12.81,-6.2
2020Q4,-29.31,-1.53,-14.46,-7.39
2020Q3,-26.36,-0.37,-3.17,-1.7
2020Q2,-25.66,-1.83,-17.58,-9.14
2020Q1,-22.38,-2.06,-20.72,-10.62
2019Q4,-18.89,-1.77,-14.15,-8.02
2019Q3,-16.07,-1.92,-13.17,-7.92
2019Q2,-13.06,-0.87,-5.98,-3.61
2019Q1,-11.75,-0.98,-7.28,-4.7
2018Q4,-10.28,-0.83,-5.88,-3.8
2018Q3,-9.26,-0.8,-6.55,-3.99
2018Q2,-8.31,-0.61,-4.57,-3.07
2018Q1,-7.62,-0.96,-7.47,-5.18
2017Q4,-6.61,-0.38,-3.36,-2.38
2017Q3,-6.21,-0.4,-3.42,-2.73
2017Q2,-5.8,-0.92,-7.78,-6.66
2016Q4,-4.86,-1.15,-8.61,-7.64
2016Q2,-4.13,-0.4,,
2015Q4,-3.73,,,
2015Q2,-3.07,,,
