年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,5.24,-0.54,-3.53,-1.13,0.3
2019,11.0,1.61,10.7,3.47,1.5
2018,7.3,0.61,4.68,1.66,1.5
2017,8.45,1.21,7.84,3.3,2.2
2016,7.6,1.45,9.59,4.37,1.93
2015,8.89,1.4,9.89,4.63,2.18
2014,9.21,4.14,28.19,13.15,0.97
2013,0.37,-0.18,-1.54,-0.76,0.0
2012,1.27,0.24,1.83,1.01,0.2
2011,0.59,0.31,1.75,1.02,0.2
2010,0.31,0.17,0.81,0.5,0.15
2009,0.36,0.24,1.8,1.13,0.2
2008,-1.27,-0.81,-4.86,-3.1,0.0
2007,0.41,0.24,2.9,1.94,0.2
2006,-0.31,-0.18,-0.4,-0.28,0.0
2005,-1.43,-3.1,-27.73,-20.39,0.0
2004,4.02,0.48,4.51,3.24,0.0
2003,3.49,1.2,11.78,7.64,0.15
2002,1.18,1.63,16.94,9.94,0.0
