季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,23.92,1.27,4.03,2.71
2020Q4,21.93,1.0,3.2,1.94
2020Q3,20.64,1.68,5.15,2.83
2020Q2,18.47,1.62,4.94,2.65
2020Q1,18.31,0.92,3.0,1.63
2019Q4,17.12,0.78,2.7,1.43
2019Q3,16.15,0.79,2.35,1.21
2019Q2,15.13,0.92,2.58,1.36
2019Q1,16.91,0.86,2.83,1.49
2018Q4,15.8,0.81,3.12,1.59
2018Q3,14.79,1.3,4.82,2.41
2018Q2,13.11,1.43,5.17,2.72
2018Q1,14.11,0.88,3.62,2.01
2017Q4,12.69,0.94,3.66,2.01
2017Q3,11.46,1.5,7.41,3.94
2017Q2,9.52,1.01,4.07,2.19
2017Q1,11.32,0.12,0.85,0.48
2016Q4,11.16,0.97,3.55,2.04
2016Q3,9.96,0.64,2.41,1.38
2016Q2,9.13,0.56,1.74,1.04
2016Q1,11.64,1.16,3.43,2.07
2015Q4,10.14,0.54,1.72,1.01
2015Q3,9.44,1.2,4.44,2.54
2015Q2,7.75,0.47,1.99,1.15
2015Q1,9.8,0.58,2.24,1.32
2014Q4,8.9,0.94,3.77,2.16
2014Q3,7.47,1.06,4.99,2.73
2014Q2,5.83,0.89,3.95,2.16
