季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,-0.3,-1.77,-11.86,-9.22
2020Q4,0.22,-1.23,-7.07,-3.22
2020Q3,0.58,-1.29,-7.15,-3.2
2020Q2,0.96,-0.89,-4.79,-2.07
2020Q1,1.31,0.52,2.73,1.16
2019Q4,1.15,-0.91,-4.88,-1.65
2019Q3,1.42,0.33,1.74,0.63
2019Q2,1.32,0.59,3.1,1.06
2019Q1,1.24,0.88,4.69,1.56
2018Q4,0.98,-0.75,-4.16,-1.39
2018Q3,1.19,0.07,0.39,0.14
2018Q2,1.17,0.62,3.46,1.15
2018Q1,1.51,0.5,2.63,0.83
2017Q4,1.36,0.02,0.09,0.03
2017Q3,1.36,-0.32,-1.81,-0.61
2017Q2,1.44,1.8,10.31,3.36
2017Q1,1.05,0.96,5.68,1.81
2016Q4,0.81,0.02,0.08,0.03
2016Q3,0.81,-0.62,-3.54,-1.33
2016Q2,0.96,1.0,,
2015Q4,1.34,4.3,,
2015Q2,1.74,,,
2014Q4,0.63,2.67,,
2014Q2,0.45,,,
