年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,13.74,1.45,11.8,4.49,0.35
2019,7.91,0.86,7.09,2.84,0.3
2018,6.9,0.83,7.15,2.94,0.3
2017,7.22,0.83,8.0,3.39,0.35
2016,2.65,0.05,1.28,0.54,0.0
2015,2.01,-0.97,-7.09,-3.01,0.0
2014,8.1,0.04,0.71,0.31,0.0
2013,9.39,0.25,1.63,0.77,0.2
2012,9.36,0.25,2.74,1.32,0.2
2011,8.04,0.51,4.33,2.21,0.25
2010,7.68,0.71,6.09,3.3,0.35
2009,4.43,0.18,2.69,1.38,0.14
2008,1.97,-1.5,-12.46,-6.01,0.0
2007,11.84,0.16,1.89,0.89,0.15
2006,13.15,0.88,7.33,3.45,0.2
2005,11.9,0.86,6.92,3.39,0.19
2004,11.1,1.27,9.56,5.0,0.3
2003,7.52,0.92,6.41,3.62,0.2
2002,7.61,1.04,7.34,4.29,0.8
2001,3.95,0.13,1.13,0.64,0.2
2000,3.21,0.04,0.37,0.22,0.0
