年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,190.0,1.25,3.33,2.62,1.0
2019,210.9,3.08,8.38,6.71,2.5
2018,195.3,2.82,7.18,5.67,2.1
2017,147.5,2.54,6.64,5.1,1.9
2016,133.3,2.07,6.08,4.46,1.5
2015,117.1,1.68,5.95,4.16,1.2
2014,114.4,2.09,7.18,5.04,1.4
2013,98.06,1.27,4.0,2.83,1.0
2012,93.62,1.46,4.58,3.21,1.0
2011,99.23,1.24,4.21,2.93,1.2
2010,112.1,2.43,8.0,5.54,2.0
2009,84.71,0.05,0.26,0.17,0.8
2008,109.1,1.79,6.13,4.19,1.5
2007,133.4,4.38,13.8,9.69,3.2
2006,83.4,2.02,9.71,5.95,1.4
2005,69.18,1.55,11.64,6.0,1.0
2004,59.76,1.3,9.73,5.07,0.8
2003,51.48,1.0,7.64,4.1,0.6
2002,51.01,1.14,8.77,4.72,0.7
2001,44.52,0.69,5.28,2.79,0.4
2000,51.17,1.64,12.4,6.62,0.6
1999,43.2,1.28,9.91,5.63,0.6
1998,36.55,1.07,8.22,4.97,0.4
