年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-2.36,-0.58,-6.12,-3.04,0.0
2019,-1.16,-0.27,-2.72,-1.28,0.0
2018,-0.3,-1.18,-11.08,-5.13,0.0
2017,4.43,0.3,2.72,1.35,0.1
2016,3.48,-1.38,-12.53,-6.41,0.0
2015,7.88,0.72,6.01,3.11,0.2
2014,7.6,0.56,4.36,2.36,0.55
2013,7.1,0.56,4.54,2.43,0.35
2012,5.35,-0.14,-1.1,-0.57,0.1
2011,6.05,0.9,7.19,3.7,0.47
2010,8.18,2.14,16.75,8.02,0.7
2009,1.91,0.66,6.11,2.64,0.0
2008,-0.65,-1.59,-13.79,-6.46,0.0
2007,5.82,0.94,7.69,4.24,0.55
2006,3.46,0.23,1.94,1.12,0.18
2005,2.7,-0.65,-5.18,-3.29,0.0
2004,6.94,0.83,6.4,4.31,0.5
2003,5.18,0.34,2.63,1.69,0.25
2002,5.02,0.33,2.52,1.58,0.2
2001,3.72,0.26,2.25,1.4,0.0
